23:25:51 INFO  application.AppManager - Start in browser FIREFOX
23:25:53 INFO  application.MyListener - Start find element by -->By.xpath: //*[.='Sign Out']
23:26:03 INFO  application.MyListener - The element -->By.xpath: //*[.='Sign Out']was found
23:26:03 INFO  application.MyListener - Start find element by -->By.xpath: //a[.='LOGIN']
23:26:03 INFO  application.MyListener - The element -->By.xpath: //a[.='LOGIN']was found
23:26:03 INFO  application.MyListener - Start find element by -->By.xpath: //input[@placeholder='Email']
23:26:03 INFO  application.MyListener - The element -->By.xpath: //input[@placeholder='Email']was found
23:26:03 INFO  application.MyListener - Start find element by -->By.xpath: //input[@placeholder='Password']
23:26:03 INFO  application.MyListener - The element -->By.xpath: //input[@placeholder='Password']was found
23:26:04 INFO  tests.TestBase - Login with --> email: "anat@gmail.com", password: "Aa12345$"
23:26:04 INFO  application.MyListener - Start find element by -->By.xpath: //button[.=' Login']
23:26:04 INFO  application.MyListener - The element -->By.xpath: //button[.=' Login']was found
23:26:04 INFO  application.MyListener - Start find element by -->By.xpath: //*[.='Sign Out']
23:26:05 INFO  application.MyListener - The element -->By.xpath: //*[.='Sign Out']was found
23:26:05 INFO  application.MyListener - Start find element by -->By.xpath: //*[.='Sign Out']
23:26:05 INFO  application.MyListener - The element -->By.xpath: //*[.='Sign Out']was found
