21:14:26 INFO  application.AppManager - Start in browser FIREFOX
21:14:28 INFO  tests.TestBase - Start method  --> smokeTest
21:14:28 INFO  tests.TestBase - End of method --> smokeTest
21:14:28 INFO  tests.TestBase - Start method  --> quicktest
21:14:28 INFO  tests.TestBase - End of method --> quicktest
21:14:28 INFO  tests.TestBase - Start method  --> loginTestBase
21:14:28 INFO  application.MyListener - Start find element by -->By.xpath: //*[.='Sign Out']
21:14:38 INFO  application.MyListener - The element -->By.xpath: //*[.='Sign Out']was found
21:14:38 INFO  application.MyListener - Start find element by -->By.xpath: //a[.='LOGIN']
21:14:38 INFO  application.MyListener - The element -->By.xpath: //a[.='LOGIN']was found
21:14:38 INFO  application.MyListener - Start find element by -->By.xpath: //input[@placeholder='Email']
21:14:38 INFO  application.MyListener - The element -->By.xpath: //input[@placeholder='Email']was found
21:14:38 INFO  application.MyListener - Start find element by -->By.xpath: //input[@placeholder='Password']
21:14:38 INFO  application.MyListener - The element -->By.xpath: //input[@placeholder='Password']was found
21:14:39 INFO  tests.TestBase - Login with --> email: "anat@gmail.com", password: "Aa12345$"
21:14:39 INFO  application.MyListener - Start find element by -->By.xpath: //button[.=' Login']
21:14:39 INFO  application.MyListener - The element -->By.xpath: //button[.=' Login']was found
21:14:39 INFO  application.MyListener - Start find element by -->By.xpath: //*[.='Sign Out']
21:14:40 INFO  application.MyListener - The element -->By.xpath: //*[.='Sign Out']was found
21:14:40 INFO  application.MyListener - Start find element by -->By.xpath: //*[.='Sign Out']
21:14:40 INFO  application.MyListener - The element -->By.xpath: //*[.='Sign Out']was found
21:14:40 INFO  tests.TestBase - End of method --> loginTestBase
21:14:40 INFO  tests.TestBase - Start method  --> loginTestDP_CSV
21:14:40 INFO  application.MyListener - Start find element by -->By.xpath: //*[.='Sign Out']
21:14:40 INFO  application.MyListener - The element -->By.xpath: //*[.='Sign Out']was found
21:14:40 INFO  application.MyListener - Start find element by -->By.xpath: //*[.='Sign Out']
21:14:40 INFO  application.MyListener - The element -->By.xpath: //*[.='Sign Out']was found
21:14:40 INFO  application.MyListener - Start find element by -->By.xpath: //a[.='LOGIN']
21:14:40 INFO  application.MyListener - The element -->By.xpath: //a[.='LOGIN']was found
21:14:41 INFO  application.MyListener - Start find element by -->By.xpath: //input[@placeholder='Email']
21:14:41 INFO  application.MyListener - The element -->By.xpath: //input[@placeholder='Email']was found
